species,longitude,latitude
harm,765916.9534,3228861.772
harm,762268.654,3226246.709
harm,762091.0206,3226278.379
harm,750705.2934,3227149.818
harm,818858.5543,3221559.034
harm,740135.4521,3216338.233
harm,740163.234,3216303.697
harm,808444.218,3214832.084
harm,822153.6306,3198219.415
harm,824864.231,3205851.326
harm,806599.5425,3202608.068
harm,810009.999,3203962.891
harm,818851.4266,3206891.844
harm,815435.9903,3197256.204
harm,758793.5269,3190231.288
harm,813798.9707,3189673.518
harm,814100.9396,3188849.465
harm,815806.2457,3195739.59
harm,816059.1164,3189751.531
harm,727867.7197,3178464.065
harm,767039.4323,3180474.502
harm,770569.4454,3182403.743
harm,732350.8459,3179184.701
harm,821816.1009,3184085.969
harm,809438.6521,3177424.298
harm,823305.857,3178930.869
harm,823505.6983,3177544.715
harm,815238.1082,3182604.968
harm,815863.2044,3178752.057
harm,817306.5227,3174851.418
harm,818134.1121,3183912.175
harm,817833.3588,3175990.211
harm,820780.6703,3175162.84
harm,822359.1057,3175854
harm,807453.2739,3184819.08
harm,805281.7878,3178546.939
harm,812201.9584,3181801.207
harm,715675.6023,3165312.897
harm,721750.3451,3163950.863
harm,742248.2538,3169206.444
harm,729492.5576,3167409.248
harm,746288.832,3165247.627
harm,847698.6369,3163307.87
harm,839898.9016,3170532.549
harm,838027.7301,3169386.884
harm,812588.1536,3171012.12
harm,801230.647,3171658.581
harm,801867.3148,3172986.975
harm,801999.1433,3173061.577
harm,802127.766,3172986.627
harm,802187.5456,3172924.996
harm,817217.3094,3172452.469
harm,808530.484,3173290.366
harm,712381.6922,3157655.896
harm,712827.2498,3158240.351
harm,720999.6191,3161939.104
harm,828772.4132,3156977.227
harm,829280.2067,3152459.987
harm,827556.0531,3151764.509
harm,824401.7467,3154512.983
harm,850078.3273,3156729.799
harm,838640.2939,3160433.117
harm,811777.1477,3150873.497
harm,823388.4701,3153625.057
harm,619319.2806,3139734.655
harm,638673.0602,3148738.302
harm,638809.6182,3148635.411
harm,614805.387,3144005.206
harm,614747.4665,3143977.606
harm,614664.5945,3143453.356
harm,614667.4967,3143447.069
harm,614813.7856,3143424.337
harm,614793.7074,3143433.892
harm,614790.9033,3143490.486
harm,614668.0342,3143532.837
harm,614639.6075,3143544.638
harm,614639.887,3143596.498
harm,614619.9922,3143637.635
harm,614636.0122,3143723
harm,614672.0371,3143705.51
harm,614697.4948,3143686.699
harm,614739.549,3143663.729
harm,614777.1704,3143653.347
harm,614795.8235,3143780.068
harm,614801.2255,3143808.819
harm,614819.786,3143814.207
harm,614806.7041,3143668.704
harm,614793.7732,3143427.133
harm,614639.4116,3143544.636
harm,614633.7171,3143555.994
harm,614801.0296,3143808.817
harm,611735.5747,3143251.611
harm,611891.1274,3142602.889
harm,611612.6441,3142752.828
harm,611574.4772,3142800.223
harm,611447.7759,3142865.175
harm,611397.8949,3142866.698
harm,611331.9909,3142780.536
harm,674870.5162,3143292.935
harm,607474.6494,3139852.831
harm,626946.6465,3140084.669
harm,861807.6914,3142931.066
harm,836650.7241,3148136.846
harm,839458.0667,3146244.323
harm,838935.2663,3141666.601
harm,618743.0107,3136909.944
harm,593718.4698,3137117.314
harm,675196.8701,3127789.557
harm,768309.1047,3134178.989
harm,768039.518,3134079.844
harm,768338.2777,3134142.988
harm,768371.7608,3134109.551
harm,768380.7148,3134123.309
harm,768430.7379,3133937.442
harm,768333.4263,3133900.115
harm,611205.3457,3135428.116
harm,604943.2549,3138402.952
harm,604938.2938,3138144.964
harm,605039.1878,3138415.438
harm,604960.9726,3138504.602
harm,590013.5994,3128395.015
harm,587864.072,3128856.635
