species,longitude,latitude
harm,765916.9534,3228861.772
harm,762268.654,3226246.709
harm,750705.2934,3227149.818
harm,818858.5543,3221559.034
harm,740135.4521,3216338.233
harm,808444.218,3214832.084
harm,822153.6306,3198219.415
harm,824864.231,3205851.326
harm,806599.5425,3202608.068
harm,818851.4266,3206891.844
harm,815435.9903,3197256.204
harm,758793.5269,3190231.288
harm,813798.9707,3189673.518
harm,727867.7197,3178464.065
harm,767039.4323,3180474.502
harm,770569.4454,3182403.743
harm,821816.1009,3184085.969
harm,809438.6521,3177424.298
harm,823305.857,3178930.869
harm,815238.1082,3182604.968
harm,815863.2044,3178752.057
harm,817306.5227,3174851.418
harm,822359.1057,3175854
harm,807453.2739,3184819.08
harm,715675.6023,3165312.897
harm,721750.3451,3163950.863
harm,742248.2538,3169206.444
harm,729492.5576,3167409.248
harm,746288.832,3165247.627
harm,847698.6369,3163307.87
harm,839898.9016,3170532.549
harm,812588.1536,3171012.12
harm,801230.647,3171658.581
harm,808530.484,3173290.366
harm,712381.6922,3157655.896
harm,828772.4132,3156977.227
harm,829280.2067,3152459.987
harm,824401.7467,3154512.983
harm,850078.3273,3156729.799
harm,838640.2939,3160433.117
harm,811777.1477,3150873.497
harm,619319.2806,3139734.655
harm,638673.0602,3148738.302
harm,614805.387,3144005.206
harm,674870.5162,3143292.935
harm,607474.6494,3139852.831
harm,626946.6465,3140084.669
harm,861807.6914,3142931.066
harm,836650.7241,3148136.846
harm,838935.2663,3141666.601
harm,593718.4698,3137117.314
harm,675196.8701,3127789.557
harm,768309.1047,3134178.989
harm,611205.3457,3135428.116
harm,590013.5994,3128395.015
harm,596445.2367,3129072.126
harm,861990.8737,3130694.604
harm,914020.0365,3127737.637
harm,626238.5758,3122858.494
harm,667441.261,3124777.863
harm,654790.7415,3116238.702
harm,778082.9491,3117731.83
harm,767568.0476,3117343.18
harm,705398.0363,3126626.576
harm,702482.6485,3120562.829
harm,869000.663,3122152.496
harm,865821.9618,3119772.417
harm,902775.1338,3118404.255
harm,881097.307,3122472.073
harm,879957.3654,3118796.249
harm,843671.586,3124823.247
harm,856408.0257,3123188.279
harm,717932.2486,3119168.126
harm,650847.0054,3114150.312
harm,758517.8977,3108741.907
harm,773654.5613,3105287.048
harm,783569.1188,3105270.722
harm,902121.6919,3111008.982
harm,844944.667,3113137.755
harm,835063.4838,3107739.246
harm,832596.6319,3115443.607
harm,663548.5421,3100011.376
harm,766399.3535,3098410.249
harm,777447.8622,3099147.675
harm,916082.8796,3095133.602
harm,886491.6873,3104417.146
harm,893709.0815,3103048.127
harm,889342.6959,3093312.901
harm,855938.076,3095978.616
harm,770041.6726,3089972.226
harm,778095.8946,3081940.04
harm,907436.1128,3092307.752
harm,911972.7498,3088698.106
harm,925636.5751,3083834.358
harm,873670.9727,3092445.955
harm,823944.5045,3089352.594
harm,843482.3755,3092677.647
harm,832483.0814,3086937.774
harm,781163.2327,3078104.554
harm,716962.6148,3076735.246
harm,781066.0745,3074596.012
harm,762430.8837,3070394.649
harm,938743.4481,3071217.379
harm,860021.295,3075405.952
harm,835379.9132,3081071.902
harm,842057.6306,3072751.853
harm,854759.9743,3081293.889
harm,547841.197,3066074.361
harm,539132.0354,3060255.905
harm,680390.3591,3064208.69
harm,661158.8785,3058882.758
harm,701932.2974,3061371.39
harm,709895.7775,3067057.802
harm,727815.4116,3067058.964
harm,615588.9581,3059002.467
harm,601551.8384,3069404.744
harm,606456.0384,3067474.649
harm,642006.1854,3066870.72
harm,778819.2849,3062548.352
harm,775946.2158,3069189.394
harm,772492.7843,3065450.435
harm,772322.4345,3059668.477
