species,longitude,latitude
Damage,765916.9534,3228861.772
Damage,762268.654,3226246.709
Damage,762091.0206,3226278.379
Damage,750705.2934,3227149.818
Damage,818858.5543,3221559.034
Damage,818858.5543,3221559.034
Damage,740135.4521,3216338.233
Damage,740163.234,3216303.697
Damage,808444.218,3214832.084
Damage,808444.218,3214832.084
Damage,822153.6306,3198219.415
Damage,824864.231,3205851.326
Damage,806599.5425,3202608.068
Damage,810009.999,3203962.891
Damage,818851.4266,3206891.844
Damage,822153.6306,3198219.415
Damage,824864.231,3205851.326
Damage,806599.5425,3202608.068
Damage,810009.999,3203962.891
Damage,818851.4266,3206891.844
Damage,815435.9903,3197256.204
Damage,758793.5269,3190231.288
Damage,813798.9707,3189673.518
Damage,814100.9396,3188849.465
Damage,813798.9707,3189673.518
Damage,814100.9396,3188849.465
Damage,815806.2457,3195739.59
Damage,816059.1164,3189751.531
Damage,727867.7197,3178464.065
Damage,727867.7197,3178464.065
Damage,767039.4323,3180474.502
Damage,770569.4454,3182403.743
Damage,732350.8459,3179184.701
Damage,821816.1009,3184085.969
Damage,809438.6521,3177424.298
Damage,823305.857,3178930.869
Damage,823505.6983,3177544.715
Damage,821816.1009,3184085.969
Damage,809438.6521,3177424.298
Damage,815238.1082,3182604.968
Damage,815863.2044,3178752.057
Damage,817306.5227,3174851.418
Damage,818134.1121,3183912.175
Damage,817833.3588,3175990.211
Damage,820780.6703,3175162.84
Damage,822359.1057,3175854
Damage,807453.2739,3184819.08
Damage,805281.7878,3178546.939
Damage,812201.9584,3181801.207
Damage,715675.6023,3165312.897
Damage,721750.3451,3163950.863
Damage,742248.2538,3169206.444
Damage,729492.5576,3167409.248
Damage,746288.832,3165247.627
Damage,847698.6369,3163307.87
Damage,839898.9016,3170532.549
Damage,838027.7301,3169386.884
Damage,812588.1536,3171012.12
Damage,847698.6369,3163307.87
Damage,839898.9016,3170532.549
Damage,838027.7301,3169386.884
Damage,812588.1536,3171012.12
Damage,801230.647,3171658.581
Damage,801867.3148,3172986.975
Damage,801999.1433,3173061.577
Damage,802127.766,3172986.627
Damage,802187.5456,3172924.996
Damage,817217.3094,3172452.469
Damage,808530.484,3173290.366
Damage,712381.6922,3157655.896
Damage,712827.2498,3158240.351
Damage,720999.6191,3161939.104
Damage,828772.4132,3156977.227
Damage,829280.2067,3152459.987
Damage,827556.0531,3151764.509
Damage,824401.7467,3154512.983
Damage,850078.3273,3156729.799
Damage,838640.2939,3160433.117
Damage,811777.1477,3150873.497
Damage,823388.4701,3153625.057
Damage,828772.4132,3156977.227
Damage,829280.2067,3152459.987
Damage,827556.0531,3151764.509
Damage,824401.7467,3154512.983
Damage,850078.3273,3156729.799
Damage,838640.2939,3160433.117
Damage,811777.1477,3150873.497
Damage,823388.4701,3153625.057
Damage,619319.2806,3139734.655
Damage,638673.0602,3148738.302
Damage,638809.6182,3148635.411
Damage,614805.387,3144005.206
Damage,614747.4665,3143977.606
Damage,614664.5945,3143453.356
Damage,614667.4967,3143447.069
Damage,614813.7856,3143424.337
Damage,614793.7074,3143433.892
Damage,614790.9033,3143490.486
Damage,614668.0342,3143532.837
Damage,614639.6075,3143544.638
Damage,614639.887,3143596.498
Damage,614619.9922,3143637.635
Damage,614636.0122,3143723
Damage,614672.0371,3143705.51
Damage,614697.4948,3143686.699
Damage,614739.549,3143663.729
Damage,614777.1704,3143653.347
Damage,614795.8235,3143780.068
Damage,614801.2255,3143808.819
