species,longitude,latitude
Suitability,737808.3316,3228764.806
Suitability,738499.836,3228834.973
Suitability,766894.6278,3229104.556
Suitability,765983.6282,3228925.254
Suitability,765970.32,3228916.01
Suitability,765663.5117,3228537.29
Suitability,739785.4661,3216714.122
Suitability,739862.3378,3216636.561
Suitability,763845.026,3225945.582
Suitability,763767.0897,3226017.423
Suitability,763697.9475,3226036.472
Suitability,763469.9325,3226223.168
Suitability,762491.6698,3226276.474
Suitability,756491.7534,3226744.844
Suitability,756455.8077,3226671.329
Suitability,756487.148,3226600.247
Suitability,756527.4608,3226551.549
Suitability,756676.5265,3226501.594
Suitability,756669.8957,3226254.666
Suitability,748725.8424,3225176.545
Suitability,748909.7277,3225700.563
Suitability,749297.9388,3225982.273
Suitability,750068.9356,3227100.764
Suitability,750548.3168,3227167.327
Suitability,811114.3771,3217369.963
Suitability,799082.6719,3218557.313
Suitability,809342.8625,3217676.556
Suitability,811114.3771,3217369.963
Suitability,799082.6719,3218557.313
Suitability,809342.8625,3217676.556
Suitability,760783.8214,3205453.761
Suitability,760854.5118,3205175.086
Suitability,760877.5994,3204801.424
Suitability,760608.1597,3205033.759
Suitability,762203.4844,3215127.398
Suitability,761857.1001,3215001.928
Suitability,761364.4153,3214772.983
Suitability,762368.3233,3214503.716
Suitability,762594.0191,3214348.71
Suitability,737916.2973,3213513.229
Suitability,737586.3249,3213838.157
Suitability,737692.5635,3214395.128
Suitability,737682.7277,3214386.299
Suitability,737981.963,3214564.686
Suitability,738256.746,3214929.246
Suitability,738508.6696,3215194.766
Suitability,740943.347,3215786.201
Suitability,812128.9382,3214900.762
Suitability,812128.9382,3214900.762
Suitability,769778.7381,3195340.789
Suitability,770475.8484,3194952.095
Suitability,770459.1379,3195458.606
Suitability,769792.0976,3195257.8
Suitability,749114.5707,3194972.159
Suitability,749324.6404,3194939.101
Suitability,764167.602,3201516.575
Suitability,763417.357,3202020.284
Suitability,763371.4609,3201568.261
Suitability,825247.7136,3200652.3
Suitability,819758.8419,3200718.548
Suitability,819739.2887,3200552.781
Suitability,819708.8088,3200105.276
Suitability,819799.8519,3199932.706
Suitability,819863.1736,3199811.156
Suitability,819856.4756,3199298.343
Suitability,819774.4789,3199428.314
Suitability,819693.0603,3199017.317
Suitability,819745.1359,3198203.424
Suitability,819651.9587,3197903.073
Suitability,819410.2533,3197704.662
Suitability,819192.2099,3199420.233
Suitability,819183.6812,3199237.82
Suitability,819331.9574,3199193.212
Suitability,818735.4075,3198049.778
